Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3398)

Prefab name:  Barrel

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  2
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1286,919 	 30814665
20 	 1217,445 	 28079893
40 	 1213,241 	 27502143
80 	 1189,24 	 27435739
160 	 1254,756 	 27593054
320 	 1203,559 	 27661999
640 	 1171,289 	 27653084
1280 	 1225,804 	 27708799
2560 	 1193,685 	 28063215
5120 	 930,3447 	 28827948
10240 	 88,48586 	 32114778
20480 	 3,002339 	 36226450
