Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3398)

Prefab name:  SailBoat_2

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  1
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1102,034 	 29045842
20 	 1095,089 	 27411301
40 	 1110,323 	 27606275
80 	 1118,565 	 27607582
160 	 1067,057 	 27521100
320 	 1083,717 	 27731555
640 	 1087,149 	 28874354
1280 	 1042,143 	 28895312
2560 	 1067,592 	 28076108
5120 	 858,7953 	 28928550
10240 	 101,8221 	 32327135
20480 	 3,014588 	 35721544
