Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3398)

Prefab name:  Basic

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  2
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1216,013 	 4689253
20 	 1184,864 	 4144904
40 	 1189,943 	 3863107
80 	 1220,374 	 4020273
160 	 1180,599 	 3902841
320 	 1192,003 	 4130259
640 	 1169,335 	 3985669
1280 	 1174,154 	 4183329
2560 	 1150,352 	 4400671
5120 	 897,947 	 5501069
10240 	 82,14352 	 6251832
20480 	 3,005597 	 8120910
