Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3398)

Prefab name:  Barrel

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  2
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1244,82 	 30357936
20 	 1219,344 	 28193655
40 	 1233,151 	 27469526
80 	 1214,979 	 27575600
160 	 1204,215 	 27456155
320 	 1216,89 	 27598606
640 	 1194,865 	 27665054
1280 	 1182,487 	 27821301
2560 	 1160,39 	 28091322
5120 	 915,3064 	 30449885
10240 	 94,69788 	 31968545
20480 	 3,001938 	 35386808
