Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3398)

Prefab name:  Barrel

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  0
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1239,176 	 31404732
20 	 1197,238 	 28172757
40 	 1232,071 	 27656461
80 	 1193,863 	 27805444
160 	 1221,158 	 27608969
320 	 1204,399 	 27528818
640 	 1176,314 	 27747754
1280 	 1196,088 	 27817656
2560 	 1149,116 	 28065189
5120 	 894,6024 	 30253867
10240 	 99,57225 	 31760853
20480 	 3,0194 	 36211775
