Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3400)

Prefab name:  Basic

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  1
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1934,91 	 3232125
20 	 1925,809 	 2978108
40 	 1947,863 	 2756422
80 	 1940,405 	 2885232
160 	 1920,021 	 3018820
320 	 1917,265 	 3138942
640 	 1896,361 	 3118085
1280 	 1871,127 	 2987068
2560 	 1855,891 	 3439336
5120 	 1713,723 	 4340732
10240 	 69,57674 	 5555750
20480 	 3,022166 	 7585587
