Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3400)

Prefab name:  Barrel

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  0
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1966,705 	 2712154
20 	 1968,563 	 2596724
40 	 1953,253 	 2508898
80 	 1948,502 	 2577181
160 	 1863,856 	 2571109
320 	 1934,173 	 2562797
640 	 1918,289 	 2761344
1280 	 1902,854 	 2755949
2560 	 1852,514 	 3099985
5120 	 1780,817 	 3931593
10240 	 69,57599 	 5666356
20480 	 3,024449 	 7392553
