Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3400)

Prefab name:  SailBoat_2

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  2
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1661,697 	 2755416
20 	 1666,591 	 2694342
40 	 1664,173 	 2698835
80 	 1655,094 	 2713547
160 	 1668,506 	 2708769
320 	 1648,183 	 2735641
640 	 1648,057 	 2787709
1280 	 1617,354 	 2807062
2560 	 1620,845 	 3166519
5120 	 1488,674 	 4268897
10240 	 67,31553 	 5810343
20480 	 3,014222 	 7426706
