Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3400)

Prefab name:  Basic

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  0
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1943,094 	 2951168
20 	 1953,716 	 3041104
40 	 1945,101 	 3149542
80 	 1963,02 	 3069199
160 	 1951,037 	 2854390
320 	 1945,886 	 2926253
640 	 1910,176 	 3152285
1280 	 1889,976 	 3277613
2560 	 1833,06 	 3441639
5120 	 1737,752 	 4053870
10240 	 68,88283 	 5453800
20480 	 3,014473 	 7341500
