Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3400)

Prefab name:  Basic

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  2
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1900,222 	 2946847
20 	 1919,303 	 3277517
40 	 1892,98 	 2947199
80 	 1928,174 	 2846731
160 	 1891,506 	 2982259
320 	 1870,676 	 3198694
640 	 1850,492 	 3248618
1280 	 1577,326 	 3074361
2560 	 1757,669 	 3389140
5120 	 1705,752 	 4358270
10240 	 75,75697 	 5873495
20480 	 3,01843 	 7368139
