Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3400)

Prefab name:  SailBoat_2

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  1
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1556,075 	 2714488
20 	 1347,949 	 2731913
40 	 1569,12 	 2845709
80 	 1278,744 	 2714598
160 	 1517,929 	 2682716
320 	 1594,617 	 2739559
640 	 1579,549 	 2761637
1280 	 1585,121 	 2904071
2560 	 1567,79 	 3218358
5120 	 1377,902 	 4087110
10240 	 66,5266 	 5434177
20480 	 3,015062 	 7379946
