Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3400)

Prefab name:  SailBoat_2

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  0
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1411,489 	 2772096
20 	 1432,432 	 2714692
40 	 1440,227 	 2739312
80 	 1410,463 	 2712584
160 	 1428,589 	 2737083
320 	 1423,216 	 2742158
640 	 1380,472 	 2808825
1280 	 1393,385 	 2827770
2560 	 1338,207 	 3266036
5120 	 1232,647 	 4064229
10240 	 69,76004 	 5830444
20480 	 3,009727 	 7431176
