Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3400)

Prefab name:  Barrel

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  1
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1064,259 	 1909227
20 	 1300,971 	 2422749
40 	 1088,918 	 2609605
80 	 1259,874 	 2482974
160 	 1267,225 	 2615985
320 	 1440,987 	 2650315
640 	 1447,016 	 2663197
1280 	 1431,296 	 2763750
2560 	 1389,687 	 3049831
5120 	 1260,345 	 3960165
10240 	 70,18001 	 5205077
20480 	 3,025891 	 7396726
