Test length:  1000
Type of test:  Performance
CPU: Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz (3400)

Prefab name:  Barrel

Coefficient of drag:  1
Coefficient of lift:  1

Amplitude:  2
Ordinary frequency  10
Angular frequency  1


SampleCount 	 Avg. FPS 	 Avg. Memory usage (bytes)
10 	 1931,31 	 2725049
20 	 1957,922 	 2683703
40 	 1941,706 	 2669784
80 	 1920,924 	 2694283
160 	 1933,506 	 2698228
320 	 1905,332 	 2720134
640 	 1879,249 	 2731945
1280 	 1861,594 	 2794912
2560 	 1837,419 	 3121794
5120 	 1741,654 	 4237045
10240 	 78,44014 	 5696025
20480 	 3,012647 	 7289584
